name	broad_lin	Country
11502_1_18|2004|Costa_Rica|Bovine	I	Costa_Rica
11940_5_95|2004|Costa_Rica|Bovine	I	Costa_Rica
11983_1_28|2013|Costa_Rica|Human	I	Costa_Rica
11983_1_29|2013|Costa_Rica|Human	I	Costa_Rica
11983_1_30|2003|Costa_Rica|Bovine	I	Costa_Rica
11983_1_33|2011|Costa_Rica|Bovine	I	Costa_Rica
11983_1_34|2010|Costa_Rica|Bovine	I	Costa_Rica
11983_1_38|2004|Costa_Rica|Bovine	I	Costa_Rica
11983_1_41|2005|Costa_Rica|Bovine	I	Costa_Rica
11983_1_47|2005|Costa_Rica|Bovine	I	Costa_Rica
11983_1_52|2003|Costa_Rica|Bovine	I	Costa_Rica
11983_1_58|2003|Costa_Rica|Bovine	I	Costa_Rica
11983_1_79|2004|Costa_Rica|Bovine	I	Costa_Rica
11983_1_82|2003|Costa_Rica|Bovine	I	Costa_Rica
12045_3_51|2005|Costa_Rica|Bovine	I	Costa_Rica
12673_8_3|2005|Costa_Rica|Bovine	I	Costa_Rica
14913_1_1|2014|Costa_Rica|Bovine	I	Costa_Rica
14913_1_11|2014|Costa_Rica|Unknown	I	Costa_Rica
14913_1_2|2014|Costa_Rica|Bovine	I	Costa_Rica
14913_1_7|2014|Costa_Rica|Human	I	Costa_Rica
14913_1_8|2011|Costa_Rica|Bovine	I	Costa_Rica
baboCR111_S7|2015|Costa_Rica|Bovine	I	Costa_Rica
baboCR112_S8|2015|Costa_Rica|Bovine	I	Costa_Rica
baboCR136_S10|2016|Costa_Rica|Bovine	I	Costa_Rica
baboCR137_S11|2016|Costa_Rica|Bovine	I	Costa_Rica
baboCR150_S12|2016|Costa_Rica|Bovine	I	Costa_Rica
baboCR189_S14|2017|Costa_Rica|Bovine	I	Costa_Rica
baboCR209_S17|2018|Costa_Rica|Buffalo	I	Costa_Rica
baboCR75_S1|2014|Costa_Rica|Bovine	I	Costa_Rica
baboCR92_S5|2015|Costa_Rica|Bovine	I	Costa_Rica
babohCR168|2017|Costa_Rica|Human	I	Costa_Rica
babohCR174_S18|2016|Costa_Rica|Human	I	Costa_Rica
babohCR175|2017|Costa_Rica|Human	I	Costa_Rica
babohCR176_S17|2016|Costa_Rica|Human	I	Costa_Rica
babohCR177_S14|2016|Costa_Rica|Human	I	Costa_Rica
babohCR178_S6|2017|Costa_Rica|Human	I	Costa_Rica
babohCR179|2015|Costa_Rica|Human	I	Costa_Rica
babohCR180_S15|2015|Costa_Rica|Human	I	Costa_Rica
babohCR181_S5|2013|Costa_Rica|Human	I	Costa_Rica
babohCR195_S16|2017|Costa_Rica|Human	I	Costa_Rica
babohCR196_S7|2017|Costa_Rica|Human	I	Costa_Rica
baboCR203_S16|2018|Costa_Rica|Buffalo	II	Costa_Rica
baboCR100_S6|2015|Costa_Rica|Bovine	III	Costa_Rica
baboCR123_S9|2015|Costa_Rica|Bovine	III	Costa_Rica
baboCR156_S13|2016|Costa_Rica|Bovine	III	Costa_Rica
baboCR202_S15|2018|Costa_Rica|Buffalo	III	Costa_Rica
baboCR77B_S2|2014|Costa_Rica|Bovine	III	Costa_Rica
baboCR79B_S3|2014|Costa_Rica|Bovine	III	Costa_Rica
baboCR82_S4|2014|Costa_Rica|Bovine	III	Costa_Rica
babohCR182_S8|2016|Costa_Rica|Human	III	Costa_Rica
12673_8_1|2010|Costa_Rica|Bovine	IV	Costa_Rica
12673_8_2|2010|Costa_Rica|Bovine	IV	Costa_Rica
12673_8_13|1991|Spain|Bovine	NA	Spain
12673_8_14|1996|Spain|Bovine	NA	Spain
12673_8_15|2000|Spain|Human	NA	Spain
12673_8_17|2011|Nigeria|Bovine	NA	Nigeria
12673_8_18|2011|Nigeria|Bovine	NA	Nigeria
B_abortus_01-0065|2000|USA|Bison	NA	USA
B_abortus_104M|2013|China|Bovine	NA	China
B_abortus_134|2001|China|Unknown	NA	China
B_abortus_1432|2009|Argentina|Human	NA	Argentina
B_abortus_308|1996|Argentina|Human	NA	Argentina
