PathParameter	MeanPathLikelihood	MLContribution
0.0000	-7.8257e+06	-1.5634
2.1544e-07	-6.6881e+06	-11.939
2.1715e-06	-5.5192e+06	-33.208
8.3895e-06	-5.1622e+06	-68.769
2.1888e-05	-5.0271e+06	-120.42
4.6050e-05	-4.9403e+06	-189.15
8.4561e-05	-4.8830e+06	-275.97
0.00014136	-4.8343e+06	-381.46
0.00022061	-4.7920e+06	-506.59
0.00032669	-4.7590e+06	-650.20
0.00046416	-4.7008e+06	-814.32
0.00063774	-4.6819e+06	-1003.1
0.00085232	-4.6677e+06	-1214.7
0.0011130	-4.6535e+06	-1449.0
0.0014248	-4.6388e+06	-1707.1
0.0017932	-4.6286e+06	-1990.5
0.0022237	-4.6204e+06	-2299.0
0.0027216	-4.6128e+06	-2633.5
0.0032929	-4.6074e+06	-2994.1
0.0039432	-4.6009e+06	-3381.3
0.0046784	-4.5967e+06	-3796.5
0.0055047	-4.5931e+06	-4239.9
0.0064280	-4.5908e+06	-4711.7
0.0074546	-4.5881e+06	-5212.4
0.0085909	-4.5866e+06	-5742.6
0.0098431	-4.5851e+06	-6302.6
0.011218	-4.5840e+06	-6892.8
0.012722	-4.5830e+06	-7513.5
0.014361	-4.5822e+06	-8165.0
0.016143	-4.5814e+06	-8847.9
0.018075	-4.5809e+06	-9562.4
0.020162	-4.5804e+06	-10309
0.022413	-4.5800e+06	-11088
0.024834	-4.5797e+06	-11899
0.027432	-4.5794e+06	-12744
0.030215	-4.5791e+06	-13621
0.033190	-4.5789e+06	-14533
0.036364	-4.5787e+06	-15478
0.039745	-4.5785e+06	-16458
0.043339	-4.5783e+06	-17472
0.047156	-4.5782e+06	-18521
0.051201	-4.5780e+06	-19605
0.055484	-4.5780e+06	-20724
0.060011	-4.5778e+06	-21880
0.064790	-4.5777e+06	-23071
0.069830	-4.5776e+06	-24298
0.075138	-4.5776e+06	-25562
0.080722	-4.5775e+06	-26863
0.086591	-4.5774e+06	-28200
0.092751	-4.5774e+06	-29575
0.099213	-4.5774e+06	-30988
0.10598	-4.5773e+06	-32438
0.11307	-4.5773e+06	-33927
0.12048	-4.5772e+06	-35453
0.12823	-4.5772e+06	-37019
0.13631	-4.5772e+06	-38623
0.14475	-4.5771e+06	-40266
0.15355	-4.5771e+06	-41948
0.16271	-4.5771e+06	-43669
0.17226	-4.5770e+06	-45431
0.18218	-4.5770e+06	-47232
0.19250	-4.5770e+06	-49074
0.20322	-4.5770e+06	-50956
0.21436	-4.5770e+06	-52878
0.22591	-4.5769e+06	-54841
0.23789	-4.5769e+06	-56845
0.25031	-4.5769e+06	-58891
0.26318	-4.5769e+06	-60978
0.27650	-4.5769e+06	-63106
0.29029	-4.5769e+06	-65277
0.30455	-4.5769e+06	-67489
0.31930	-4.5769e+06	-69744
0.33454	-4.5768e+06	-72041
0.35028	-4.5768e+06	-74380
0.36653	-4.5768e+06	-76763
0.38330	-4.5768e+06	-79188
0.40060	-4.5768e+06	-81657
0.41844	-4.5768e+06	-84169
0.43683	-4.5768e+06	-86725
0.45578	-4.5768e+06	-89324
0.47530	-4.5768e+06	-91968
0.49539	-4.5768e+06	-94656
0.51608	-4.5768e+06	-97387
0.53735	-4.5767e+06	-1.0016e+05
0.55924	-4.5767e+06	-1.0299e+05
0.58174	-4.5767e+06	-1.0585e+05
0.60487	-4.5767e+06	-1.0876e+05
0.62863	-4.5767e+06	-1.1172e+05
0.65304	-4.5767e+06	-1.1472e+05
0.67811	-4.5767e+06	-1.1777e+05
0.70384	-4.5767e+06	-1.2086e+05
0.73025	-4.5767e+06	-1.2400e+05
0.75734	-4.5767e+06	-1.2718e+05
0.78513	-4.5767e+06	-1.3042e+05
0.81363	-4.5767e+06	-1.3369e+05
0.84284	-4.5767e+06	-1.3702e+05
0.87278	-4.5767e+06	-1.4039e+05
0.90345	-4.5767e+06	-1.4381e+05
0.93488	-4.5767e+06	-1.4727e+05
0.96705	-4.5767e+06	-1.5078e+05
1.0000	-4.5767e+06	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -4577336.966099909

Inner area for path parameter in (2.1544e-07,0.96705) = -4.5773e+06
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5.0478e+06	-1.5469
2.1544e-07	-5.0080e+06	-11.601
2.1715e-06	-4.8916e+06	-32.904
8.3895e-06	-4.9164e+06	-68.626
2.1888e-05	-4.8772e+06	-120.44
4.6050e-05	-4.8194e+06	-188.89
8.4561e-05	-4.7900e+06	-275.81
0.00014136	-4.7732e+06	-381.76
0.00022061	-4.7300e+06	-506.16
0.00032669	-4.6896e+06	-649.96
0.00046416	-4.6704e+06	-813.99
0.00063774	-4.6580e+06	-1003.1
0.00085232	-4.6465e+06	-1215.1
0.0011130	-4.6321e+06	-1448.7
0.0014248	-4.6211e+06	-1706.5
0.0017932	-4.6137e+06	-1990.0
0.0022237	-4.6085e+06	-2298.9
0.0027216	-4.6025e+06	-2633.1
0.0032929	-4.5996e+06	-2994.3
0.0039432	-4.5943e+06	-3381.4
0.0046784	-4.5896e+06	-3796.4
0.0055047	-4.5885e+06	-4239.8
0.0064280	-4.5859e+06	-4711.6
0.0074546	-4.5843e+06	-5212.3
0.0085909	-4.5835e+06	-5742.5
0.0098431	-4.5826e+06	-6302.5
0.011218	-4.5818e+06	-6892.9
0.012722	-4.5812e+06	-7513.6
0.014361	-4.5802e+06	-8165.1
0.016143	-4.5797e+06	-8847.8
0.018075	-4.5795e+06	-9562.4
0.020162	-4.5790e+06	-10309
0.022413	-4.5788e+06	-11088
0.024834	-4.5786e+06	-11899
0.027432	-4.5785e+06	-12744
0.030215	-4.5782e+06	-13622
0.033190	-4.5781e+06	-14533
0.036364	-4.5779e+06	-15478
0.039745	-4.5779e+06	-16458
0.043339	-4.5778e+06	-17472
0.047156	-4.5776e+06	-18521
0.051201	-4.5775e+06	-19605
0.055484	-4.5775e+06	-20725
0.060011	-4.5774e+06	-21880
0.064790	-4.5774e+06	-23071
0.069830	-4.5773e+06	-24298
0.075138	-4.5773e+06	-25562
0.080722	-4.5772e+06	-26863
0.086591	-4.5771e+06	-28200
0.092751	-4.5772e+06	-29575
0.099213	-4.5771e+06	-30988
0.10598	-4.5771e+06	-32438
0.11307	-4.5771e+06	-33927
0.12048	-4.5770e+06	-35453
0.12823	-4.5770e+06	-37019
0.13631	-4.5770e+06	-38623
0.14475	-4.5770e+06	-40266
0.15355	-4.5769e+06	-41948
0.16271	-4.5769e+06	-43670
0.17226	-4.5769e+06	-45431
0.18218	-4.5769e+06	-47232
0.19250	-4.5769e+06	-49074
0.20322	-4.5769e+06	-50956
0.21436	-4.5768e+06	-52878
0.22591	-4.5768e+06	-54841
0.23789	-4.5768e+06	-56845
0.25031	-4.5768e+06	-58891
0.26318	-4.5768e+06	-60978
0.27650	-4.5768e+06	-63106
0.29029	-4.5768e+06	-65277
0.30455	-4.5768e+06	-67489
0.31930	-4.5768e+06	-69744
0.33454	-4.5768e+06	-72041
0.35028	-4.5768e+06	-74380
0.36653	-4.5768e+06	-76763
0.38330	-4.5767e+06	-79188
0.40060	-4.5767e+06	-81657
0.41844	-4.5767e+06	-84169
0.43683	-4.5767e+06	-86725
0.45578	-4.5767e+06	-89324
0.47530	-4.5767e+06	-91968
0.49539	-4.5767e+06	-94656
0.51608	-4.5767e+06	-97387
0.53735	-4.5767e+06	-1.0016e+05
0.55924	-4.5767e+06	-1.0299e+05
0.58174	-4.5767e+06	-1.0585e+05
