state	Upper-Lin_II	Lower-Lin_I	Lower-Lin_IV	Upper-Lin_IV	Upper-Lin_I	Lower-Lin_III	Upper-Lin_III
50000000	1851.672750	1925.953925	1996.596721	1978.220481	1840.766340	1994.708152	1931.131496
50100000	1819.758415	1892.172520	2004.528730	1980.542657	1794.638275	1996.810639	1884.099135
50200000	1867.893014	1910.648761	2001.093521	1981.360062	1819.793988	1992.905627	1917.024224
50300000	1891.366828	1902.491503	1998.809523	1977.298736	1825.201776	1998.068032	1923.761531
50400000	1881.912147	1899.488772	1999.350308	1978.783452	1809.579918	1980.974028	1917.453028
50500000	1873.500760	1920.351791	2003.175337	1972.510683	1802.114908	1985.424377	1908.315448
50600000	1862.906682	1931.214942	2006.672386	1976.885002	1820.703575	1994.522760	1942.903694
50700000	1898.601428	1951.015510	2004.475862	1976.227845	1835.395301	1991.713274	1951.398264
50800000	1905.074592	1943.674169	2000.733558	1981.164559	1862.654192	2004.569901	1900.332025
50900000	1888.670828	1933.944116	1989.649211	1978.146749	1847.576797	2000.586919	1932.668729
51000000	1877.085429	1938.360336	2005.882445	1980.954316	1821.739033	1996.564122	1932.501525
51100000	1890.350564	1951.763055	2001.071168	1980.863235	1851.063076	2001.287945	1945.746099
51200000	1899.649057	1960.382262	2004.557398	1979.974743	1860.948288	1999.451580	1961.697166
51300000	1878.796246	1963.903477	2006.273904	1980.194471	1874.122464	2000.662188	1944.280751
51400000	1913.385078	1960.617355	2006.132385	1981.628301	1879.783346	2004.976947	1961.215990
51500000	1915.455358	1959.081071	2006.178436	1977.666478	1861.421626	1984.689691	1948.673021
51600000	1893.524240	1957.967379	2004.809249	1980.984807	1865.833506	1993.863659	1937.374624
51700000	1890.410157	1931.176847	2005.759116	1972.092768	1866.626659	1996.004197	1945.878440
51800000	1899.218904	1941.808159	2005.398511	1975.880564	1876.937223	2001.979132	1946.858721
51900000	1846.586644	1946.110419	2005.161858	1981.450661	1852.261369	2004.596134	1956.544486
52000000	1850.693088	1949.462382	2005.460486	1975.877123	1851.131835	1988.154136	1949.855433
52100000	1856.333630	1937.439718	2002.195831	1980.787257	1861.276427	2006.188774	1946.668327
52200000	1907.635250	1946.160303	1998.154984	1973.956763	1832.508134	2003.888741	1933.771729
52300000	1902.779993	1925.198829	2004.450815	1978.677967	1833.375862	2002.184435	1921.266389
52400000	1896.279226	1912.026567	2005.668734	1976.315898	1834.145400	1997.021355	1929.194440
52500000	1908.944797	1918.822804	2003.435408	1968.141763	1836.537191	2000.659751	1932.430372
52600000	1901.681531	1934.703852	2003.318999	1980.804751	1837.495866	2002.130825	1953.144392
52700000	1824.861650	1942.562177	2004.374378	1975.119149	1839.307904	1978.196050	1912.658873
52800000	1892.712857	1922.892419	2003.642783	1979.082636	1792.253227	1980.952442	1906.771824
52900000	1850.006231	1931.847295	2005.739122	1981.620690	1828.673990	1998.805475	1925.450731
53000000	1874.633882	1943.838421	2004.863472	1975.695167	1836.607635	1997.381206	1937.192435
53100000	1886.702481	1929.310148	2004.915103	1979.219717	1844.243354	2005.737778	1897.501659
53200000	1858.383077	1925.733229	2004.378613	1975.974748	1851.924393	1997.454605	1941.220644
53300000	1856.688920	1916.113220	1986.422945	1977.434583	1852.558151	1997.791382	1928.101626
53400000	1880.622598	1924.005846	1998.523052	1980.374744	1822.117640	1996.332947	1956.146163
53500000	1882.900781	1932.735837	2002.777671	1981.897468	1820.156163	1998.921492	1931.999553
53600000	1849.414005	1930.637748	2000.770913	1975.908236	1786.474199	1977.162181	1913.702743
53700000	1882.017883	1932.784166	2008.401849	1981.419185	1793.113116	1980.889053	1931.892980
53800000	1859.425808	1910.718554	2001.679462	1981.834184	1835.523083	1983.706841	1884.287356
53900000	1851.194115	1910.374318	1995.832865	1981.004199	1788.825714	1971.312534	1892.646198
54000000	1855.817692	1863.304130	2003.966779	1974.877555	1763.184364	1982.774952	1893.684921
54100000	1804.421191	1863.667571	2003.035239	1981.987289	1751.801315	1974.073561	1870.556044
54200000	1847.818359	1906.954962	1994.740462	1981.108451	1774.383750	1986.695098	1914.414229
54300000	1801.107870	1888.454459	2002.232067	1980.770056	1762.102985	1993.738582	1910.900231
54400000	1782.651217	1864.891940	1995.659267	1980.043564	1781.031179	1981.332161	1846.796264
54500000	1824.012636	1852.794038	2000.486448	1973.860269	1738.428437	1976.490393	1847.485595
54600000	1819.856252	1869.417154	2002.437244	1968.723687	1775.388044	1989.999350	1874.009574
54700000	1837.941636	1883.091060	1992.132546	1980.446252	1768.908441	1990.805737	1884.793687
54800000	1796.751636	1859.002981	2000.932668	1979.016634	1741.017660	1989.783508	1845.057275
54900000	1806.587385	1852.171809	1992.533328	1978.997395	1716.614148	1969.347748	1876.347428
55000000	1806.352541	1885.026282	1995.509816	1978.541167	1778.007451	1993.489884	1861.061299
55100000	1852.015561	1890.034594	2001.703001	1970.805001	1820.985453	1964.705504	1901.111340
55200000	1855.503480	1911.214971	2000.363928	1975.221148	1822.987459	1988.705775	1909.426005
55300000	1817.731541	1895.903035	2003.837183	1981.221459	1800.375475	1991.629765	1915.954304
55400000	1830.740024	1873.956298	1982.624173	1972.235243	1800.602136	1987.893328	1911.697917
55500000	1838.421929	1889.966708	2004.094866	1981.128330	1775.842835	1990.029687	1878.379895
55600000	1858.730358	1889.090562	2002.292875	1981.372771	1798.838896	1990.611529	1906.681694
55700000	1860.433203	1916.226641	2005.075419	1971.399709	1811.199860	1981.962561	1903.363382
55800000	1785.225096	1915.106557	2003.108569	1970.366788	1802.807027	2002.544723	1914.354640
55900000	1897.279235	1915.445672	2001.311095	1979.219909	1811.444745	1997.234256	1953.732794
56000000	1892.950331	1926.361553	2000.187044	1980.769255	1837.649608	1997.859801	1941.196298
56100000	1889.543493	1923.913757	1999.883405	1971.367677	1803.227567	1999.864666	1939.982607
56200000	1851.979807	1909.701929	2004.758583	1977.461039	1805.579499	1994.741234	1936.506522
56300000	1872.574447	1929.127458	2004.500443	1977.443356	1841.823299	2000.555820	1955.211019
56400000	1862.309309	1914.446752	1986.091761	1960.544438	1814.609585	1988.078207	1926.597388
56500000	1852.986398	1914.151983	1998.406380	1974.256702	1809.078681	1989.994767	1938.674381
56600000	1861.996715	1894.468842	2002.965962	1965.743744	1817.773117	1987.961945	1936.738721
56700000	1850.702071	1899.896335	2005.660259	1980.824117	1809.946372	2000.385061	1947.402373
56800000	1890.892925	1915.453072	2003.319778	1979.003039	1803.631473	1990.033957	1905.737326
56900000	1837.754678	1922.742495	1997.130578	1976.119897	1822.966197	1996.668105	1913.889170
57000000	1845.607672	1915.568561	1995.930977	1969.124773	1798.216062	1991.630949	1932.356003
57100000	1863.604920	1921.959050	1996.912522	1979.647482	1807.425798	1999.602972	1902.780234
57200000	1878.444975	1919.146079	2003.284064	1978.909882	1831.344359	1980.913459	1886.188933
57300000	1824.658473	1914.878680	1995.679386	1981.091652	1798.209611	1987.023176	1931.009468
57400000	1868.313300	1916.030351	2002.710256	1979.011239	1799.553842	1972.107365	1894.898338
57500000	1849.742427	1907.426926	2003.431445	1979.999487	1804.122025	1988.290416	1907.409793
57600000	1895.155321	1918.754857	2000.742330	1981.558338	1817.680329	1994.820177	1927.217030
57700000	1878.998801	1899.515071	2002.121052	1981.004398	1804.442596	1988.333461	1912.545150
57800000	1866.639944	1902.092319	1998.710978	1981.679286	1789.973304	1996.400920	1924.648172
57900000	1846.578094	1900.384282	1997.641070	1981.752895	1764.670348	1986.686552	1903.259033
58000000	1807.302389	1879.569693	2005.589725	1978.448769	1736.917279	1974.236034	1915.108145
58100000	1866.822582	1881.935985	2000.640642	1979.311052	1745.938345	1998.646838	1916.603991
58200000	1853.957837	1925.950945	2003.175348	1980.876491	1798.850081	1995.354931	1921.085767
58300000	1853.815759	1908.926474	2003.919559	1981.520819	1791.639457	1983.330151	1887.547150
58400000	1828.183431	1896.836588	2004.144338	1970.080727	1769.097472	1994.555331	1918.265771
58500000	1793.460417	1892.284139	2002.960174	1976.405854	1808.062888	1984.196888	1896.224584
58600000	1807.044804	1886.965836	2005.771486	1971.936871	1780.886061	1988.075491	1877.894924
58700000	1848.617244	1859.964651	2003.118603	1977.674900	1788.797537	1978.921131	1893.828260
58800000	1785.515109	1888.717657	1999.471702	1978.495750	1785.853905	1976.245621	1881.347577
58900000	1854.062049	1908.410168	2003.461441	1973.514264	1813.277212	1988.271480	1925.412317
59000000	1822.741346	1881.844703	1994.559370	1979.802946	1790.935045	1991.201139	1910.789460
59100000	1852.940288	1917.821100	2003.131973	1978.595218	1811.670761	2002.154387	1927.589804
59200000	1896.009626	1929.070676	1998.828498	1980.456254	1855.994443	1996.291539	1946.444993
59300000	1898.059468	1931.139063	2004.920412	1978.992171	1831.603616	1998.660552	1932.611725
59400000	1876.544565	1922.915516	2002.205879	1981.844227	1813.156729	1992.821378	1924.941431
59500000	1867.497009	1921.442023	1999.484536	1976.847098	1826.091719	1999.295521	1901.667968
59600000	1859.003097	1913.657842	1998.322174	1981.633877	1802.528644	1983.513256	1910.612411
59700000	1865.812794	1921.331248	2002.334933	1980.481739	1819.164166	1999.195323	1945.120135
59800000	1899.687326	1913.126560	1997.940112	1975.266804	1847.129742	1993.858199	1919.127728
59900000	1903.667826	1923.727380	2006.612747	1978.069087	1840.417752	2002.119118	1966.259084
60000000	1886.201112	1878.184173	1985.096898	1969.177791	1754.449852	1995.657672	1908.597262
60100000	1843.647987	1879.647849	2002.923298	1976.482224	1794.186396	1979.973520	1893.711141
60200000	1862.583968	1880.630917	1992.880542	1972.398877	1777.849021	1988.760171	1899.915741
60300000	1821.816136	1867.259127	2004.952319	1972.005958	1786.281172	1996.094634	1919.152774
60400000	1871.815025	1885.458123	2000.645405	1981.566248	1817.496805	2002.191046	1911.280955
60500000	1877.359500	1907.232405	1999.042209	1976.901325	1812.448346	1998.546461	1920.830906
60600000	1876.363426	1921.467021	2002.764809	1980.046468	1802.928775	1989.808437	1923.458867
60700000	1892.177124	1923.629101	2005.145178	1976.914254	1790.436395	1991.380497	1940.562491
60800000	1872.562590	1900.380605	2005.718219	1970.400026	1790.621071	1988.253988	1903.933490
60900000	1813.726155	1885.211622	2004.056799	1975.351009	1778.009581	1974.544783	1900.331069
61000000	1821.172686	1887.203071	1998.913783	1977.273448	1798.103191	1971.377815	1890.124781
61100000	1852.064574	1934.680327	2003.460357	1979.797475	1805.699473	1992.661808	1915.246271
61200000	1866.136465	1921.731257	2006.009930	1980.161824	1834.986292	1998.767408	1922.195963
61300000	1850.486534	1914.566906	2002.715645	1981.243742	1799.132300	1999.896186	1917.002254
61400000	1862.786977	1917.794517	2003.319758	1976.316397	1808.320482	1998.929259	1909.723154
61500000	1842.337606	1922.562677	2003.976973	1976.852751	1825.768864	1999.280491	1934.990433
61600000	1861.859092	1932.440311	1999.715670	1980.189899	1850.661075	1989.394900	1924.103950
61700000	1810.255742	1902.634790	2000.343214	1978.983731	1786.218498	1995.107992	1912.848622
61800000	1855.745742	1902.692666	1998.906622	1974.598550	1745.987143	1995.430242	1917.902079
61900000	1875.926758	1899.414167	2001.418223	1969.432747	1786.726285	1986.625560	1910.458609
62000000	1717.930863	1833.062752	2000.905103	1978.909139	1716.497638	1981.724697	1842.040444
62100000	1871.845843	1893.816150	2004.217827	1981.939512	1765.930094	1993.296312	1922.280103
62200000	1833.935372	1888.052195	2004.619910	1959.895343	1779.069744	2000.612616	1897.853144
62300000	1809.327353	1928.276477	1997.852647	1978.667444	1842.835170	1978.783229	1896.249912
62400000	1849.210831	1922.618046	1997.177139	1981.583101	1827.542977	1994.856570	1901.257980
62500000	1818.416141	1923.260219	2005.392979	1981.914848	1807.615401	1992.700326	1913.892352
62600000	1890.362593	1926.682081	2004.338245	1981.552457	1807.541413	1988.876675	1876.625176
62700000	1883.178418	1919.239470	1996.498049	1975.635131	1813.497560	1998.305415	1918.338027
62800000	1862.445992	1899.376948	2000.398812	1980.394152	1832.625948	1995.811737	1920.315718
62900000	1802.546655	1870.202696	1997.506371	1981.598226	1755.973633	1985.098892	1920.594263
63000000	1809.683014	1909.459245	2002.619093	1979.530076	1809.682198	1987.242810	1925.707954
63100000	1864.259675	1913.634238	2003.167545	1978.294914	1798.895571	1989.078592	1918.210428
63200000	1806.061496	1896.571777	1999.310767	1980.400443	1806.782593	2000.103038	1937.230664
63300000	1845.761217	1915.905820	2002.768905	1980.091912	1807.926766	1996.074527	1927.557316
63400000	1875.721403	1906.155326	2005.009380	1975.152161	1788.809990	2002.080369	1930.938818
63500000	1849.757804	1896.501327	1993.236634	1977.136580	1823.147723	1983.161557	1923.366502
63600000	1838.536643	1900.169071	2006.193023	1962.930842	1818.979508	1992.622871	1903.313472
63700000	1830.266493	1870.382621	2001.656946	1971.027136	1795.147705	1985.591733	1922.597046
63800000	1765.133662	1860.103863	1995.337666	1973.829367	1766.897452	1990.568580	1876.847596
63900000	1803.492743	1878.305216	1993.252346	1962.575536	1776.265800	1983.598695	1886.612152
64000000	1810.948223	1887.331232	1994.696802	1980.364404	1795.270737	1997.749294	1904.904392
64100000	1871.523682	1886.301497	2004.424431	1972.203799	1783.225074	1997.811921	1919.109641
64200000	1846.688192	1884.040490	1990.260850	1981.682969	1797.225555	1993.971446	1865.188162
64300000	1793.832909	1877.311781	2001.316480	1981.570375	1764.045675	1988.648780	1884.655450
64400000	1823.233367	1880.847192	1991.759176	1971.391714	1745.389555	1986.484914	1896.499216
64500000	1844.198523	1890.722837	1996.504992	1980.574285	1771.749997	1996.895974	1882.983178
64600000	1773.984115	1851.747345	1993.633473	1972.480385	1750.313076	1973.640935	1886.806311
64700000	1808.933244	1839.355277	2004.487894	1980.800735	1776.677157	1967.692344	1861.064408
64800000	1810.151829	1862.232442	1997.487493	1969.462728	1763.055761	1975.150490	1856.374753
64900000	1772.744548	1852.233022	2000.950025	1976.207240	1735.987706	1985.037917	1836.369597
65000000	1848.113930	1898.898554	1997.318573	1954.878353	1782.338969	1981.862278	1908.141463
65100000	1825.706126	1873.696629	2002.423388	1981.359319	1794.190345	1998.484820	1923.100460
65200000	1860.715929	1894.614179	1992.858011	1961.739930	1789.608705	1970.284223	1900.371505
